scientific_name,family,reproductive_mode,ac,median_depth,max_size_cm,ventilation_method,habitat,estimate_type,mortality_prop,gear_class,estimate_type_new
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,AVM Longline,0.371823526376871,Longline,AVM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,PRM Longline,0.19345794323873955,Longline,PRM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,AVM Longline,0.371823526376871,Longline,AVM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,PRM Longline,0.19345794323873955,Longline,PRM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,AVM Longline,0.371823526376871,Longline,AVM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,PRM Longline,0.19345794323873955,Longline,PRM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,AVM Longline,0.371823526376871,Longline,AVM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,PRM Longline,0.19345794323873955,Longline,PRM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,AVM Longline,0.371823526376871,Longline,AVM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,PRM Longline,0.19345794323873955,Longline,PRM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,AVM Longline,0.371823526376871,Longline,AVM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,PRM Longline,0.19345794323873955,Longline,PRM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,AVM Longline,0.371823526376871,Longline,AVM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,PRM Longline,0.19345794323873955,Longline,PRM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,AVM Longline,0.371823526376871,Longline,AVM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,PRM Longline,0.19345794323873955,Longline,PRM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,AVM Longline,0.371823526376871,Longline,AVM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,PRM Longline,0.19345794323873955,Longline,PRM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,AVM Longline,0.371823526376871,Longline,AVM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,PRM Longline,0.19345794323873955,Longline,PRM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,AVM Longline,0.371823526376871,Longline,AVM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,PRM Longline,0.19345794323873955,Longline,PRM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,AVM Longline,0.371823526376871,Longline,AVM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,PRM Longline,0.19345794323873955,Longline,PRM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,AVM Longline,0.371823526376871,Longline,AVM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,PRM Longline,0.19345794323873955,Longline,PRM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,AVM Longline,0.371823526376871,Longline,AVM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,PRM Longline,0.19345794323873955,Longline,PRM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,AVM Longline,0.371823526376871,Longline,AVM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,PRM Longline,0.19345794323873955,Longline,PRM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,AVM Longline,0.371823526376871,Longline,AVM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,PRM Longline,0.19345794323873955,Longline,PRM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,AVM Longline,0.371823526376871,Longline,AVM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,PRM Longline,0.19345794323873955,Longline,PRM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,AVM Longline,0.371823526376871,Longline,AVM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,PRM Longline,0.19345794323873955,Longline,PRM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,AVM Longline,0.371823526376871,Longline,AVM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,PRM Longline,0.19345794323873955,Longline,PRM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,AVM Longline,0.371823526376871,Longline,AVM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,PRM Longline,0.19345794323873955,Longline,PRM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,AVM Longline,0.371823526376871,Longline,AVM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,PRM Longline,0.19345794323873955,Longline,PRM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,AVM Longline,0.371823526376871,Longline,AVM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,PRM Longline,0.19345794323873955,Longline,PRM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,AVM Longline,0.371823526376871,Longline,AVM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,PRM Longline,0.19345794323873955,Longline,PRM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,AVM Longline,0.371823526376871,Longline,AVM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,PRM Longline,0.19345794323873955,Longline,PRM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,AVM Longline,0.371823526376871,Longline,AVM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,PRM Longline,0.19345794323873955,Longline,PRM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,AVM Longline,0.371823526376871,Longline,AVM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,PRM Longline,0.19345794323873955,Longline,PRM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,AVM Longline,0.371823526376871,Longline,AVM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,PRM Longline,0.19345794323873955,Longline,PRM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,AVM Longline,0.371823526376871,Longline,AVM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,PRM Longline,0.19345794323873955,Longline,PRM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,AVM Longline,0.371823526376871,Longline,AVM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,PRM Longline,0.19345794323873955,Longline,PRM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,AVM Longline,0.371823526376871,Longline,AVM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,PRM Longline,0.19345794323873955,Longline,PRM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,AVM Longline,0.371823526376871,Longline,AVM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,PRM Longline,0.19345794323873955,Longline,PRM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,AVM Longline,0.371823526376871,Longline,AVM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,PRM Longline,0.19345794323873955,Longline,PRM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,AVM Longline,0.371823526376871,Longline,AVM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,PRM Longline,0.19345794323873955,Longline,PRM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,AVM Longline,0.371823526376871,Longline,AVM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,PRM Longline,0.19345794323873955,Longline,PRM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,AVM Longline,0.371823526376871,Longline,AVM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,PRM Longline,0.19345794323873955,Longline,PRM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,AVM Longline,0.371823526376871,Longline,AVM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,PRM Longline,0.19345794323873955,Longline,PRM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,AVM Longline,0.371823526376871,Longline,AVM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,PRM Longline,0.19345794323873955,Longline,PRM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,AVM Longline,0.371823526376871,Longline,AVM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,PRM Longline,0.19345794323873955,Longline,PRM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,AVM Longline,0.371823526376871,Longline,AVM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,PRM Longline,0.19345794323873955,Longline,PRM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,AVM Longline,0.371823526376871,Longline,AVM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,PRM Longline,0.19345794323873955,Longline,PRM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,AVM Longline,0.371823526376871,Longline,AVM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,PRM Longline,0.19345794323873955,Longline,PRM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,AVM Longline,0.371823526376871,Longline,AVM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,PRM Longline,0.19345794323873955,Longline,PRM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,AVM Longline,0.371823526376871,Longline,AVM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,PRM Longline,0.19345794323873955,Longline,PRM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,AVM Longline,0.371823526376871,Longline,AVM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,PRM Longline,0.19345794323873955,Longline,PRM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,AVM Longline,0.371823526376871,Longline,AVM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,PRM Longline,0.19345794323873955,Longline,PRM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,AVM Longline,0.371823526376871,Longline,AVM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,PRM Longline,0.19345794323873955,Longline,PRM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,AVM Longline,0.371823526376871,Longline,AVM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,PRM Longline,0.19345794323873955,Longline,PRM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,AVM Longline,0.371823526376871,Longline,AVM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,PRM Longline,0.19345794323873955,Longline,PRM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,AVM Longline,0.371823526376871,Longline,AVM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,PRM Longline,0.19345794323873955,Longline,PRM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,AVM Longline,0.371823526376871,Longline,AVM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,PRM Longline,0.19345794323873955,Longline,PRM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,AVM Longline,0.371823526376871,Longline,AVM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,PRM Longline,0.19345794323873955,Longline,PRM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,AVM Longline,0.371823526376871,Longline,AVM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,PRM Longline,0.19345794323873955,Longline,PRM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,AVM Longline,0.371823526376871,Longline,AVM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,PRM Longline,0.19345794323873955,Longline,PRM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,AVM Longline,0.371823526376871,Longline,AVM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,PRM Longline,0.19345794323873955,Longline,PRM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,AVM Longline,0.371823526376871,Longline,AVM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,PRM Longline,0.19345794323873955,Longline,PRM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,AVM Longline,0.371823526376871,Longline,AVM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,PRM Longline,0.19345794323873955,Longline,PRM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,AVM Longline,0.371823526376871,Longline,AVM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,PRM Longline,0.19345794323873955,Longline,PRM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,AVM Longline,0.371823526376871,Longline,AVM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,PRM Longline,0.19345794323873955,Longline,PRM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,AVM Longline,0.371823526376871,Longline,AVM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,PRM Longline,0.19345794323873955,Longline,PRM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,AVM Longline,0.371823526376871,Longline,AVM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,PRM Longline,0.19345794323873955,Longline,PRM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,AVM Longline,0.371823526376871,Longline,AVM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,PRM Longline,0.19345794323873955,Longline,PRM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,AVM Longline,0.371823526376871,Longline,AVM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,PRM Longline,0.19345794323873955,Longline,PRM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,AVM Longline,0.371823526376871,Longline,AVM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,PRM Longline,0.19345794323873955,Longline,PRM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,AVM Longline,0.371823526376871,Longline,AVM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,PRM Longline,0.19345794323873955,Longline,PRM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,AVM Longline,0.371823526376871,Longline,AVM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,PRM Longline,0.19345794323873955,Longline,PRM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,AVM Longline,0.371823526376871,Longline,AVM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,PRM Longline,0.19345794323873955,Longline,PRM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,AVM Longline,0.371823526376871,Longline,AVM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,PRM Longline,0.19345794323873955,Longline,PRM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,AVM Longline,0.371823526376871,Longline,AVM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,PRM Longline,0.19345794323873955,Longline,PRM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,AVM Longline,0.371823526376871,Longline,AVM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,PRM Longline,0.19345794323873955,Longline,PRM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,AVM Longline,0.371823526376871,Longline,AVM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,PRM Longline,0.19345794323873955,Longline,PRM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,AVM Longline,0.371823526376871,Longline,AVM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,PRM Longline,0.19345794323873955,Longline,PRM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,AVM Longline,0.371823526376871,Longline,AVM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,PRM Longline,0.19345794323873955,Longline,PRM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,AVM Longline,0.371823526376871,Longline,AVM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,PRM Longline,0.19345794323873955,Longline,PRM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,AVM Longline,0.371823526376871,Longline,AVM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,PRM Longline,0.19345794323873955,Longline,PRM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,AVM Longline,0.371823526376871,Longline,AVM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,PRM Longline,0.19345794323873955,Longline,PRM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,AVM Longline,0.371823526376871,Longline,AVM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,PRM Longline,0.19345794323873955,Longline,PRM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,AVM Longline,0.371823526376871,Longline,AVM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,PRM Longline,0.19345794323873955,Longline,PRM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,AVM Longline,0.371823526376871,Longline,AVM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,PRM Longline,0.19345794323873955,Longline,PRM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,AVM Longline,0.371823526376871,Longline,AVM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,PRM Longline,0.19345794323873955,Longline,PRM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,AVM Longline,0.371823526376871,Longline,AVM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,PRM Longline,0.19345794323873955,Longline,PRM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,AVM Longline,0.371823526376871,Longline,AVM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,PRM Longline,0.19345794323873955,Longline,PRM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,AVM Longline,0.371823526376871,Longline,AVM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,PRM Longline,0.19345794323873955,Longline,PRM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,AVM Longline,0.371823526376871,Longline,AVM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,PRM Longline,0.19345794323873955,Longline,PRM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,AVM Longline,0.371823526376871,Longline,AVM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,PRM Longline,0.19345794323873955,Longline,PRM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,AVM Longline,0.371823526376871,Longline,AVM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,PRM Longline,0.19345794323873955,Longline,PRM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,AVM Longline,0.371823526376871,Longline,AVM
